;Сельское, лесное хозяйство, охота, рыболовство и рыбоводство;Добыча полезных ископаемых;Обрабатывающие производства;Обеспечение электрической энергией, газом и паром, кондиционирование воздуха;Водоснабжение, водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений;Строительство;Торговля оптовая и розничная, ремонт автотранспортных средств и мотоциклов;Транспортировка и хранение;Деятельность гостиниц и предприятий общественного питания;Деятельность в области информации и связи;Деятельность финансовая и страховая;Деятельность по операциям с недвижимым имуществом;Деятельность профессиональная, научная и техническая;Деятельность административная и сопутствующие дополнительные услуги;Государственное управление и обеспечение военной безопасности, социальное обеспечение;Образование;Деятельность в области здравоохранения и социальных услуг;Деятельность в области культуры, спорта, организации досуга и развлечений;Предоставление прочих видов услуг;Оптовая и розничная торговля, ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования;Деятельность домашних хозяйств как работодателей, недифференцированная деятельность частных домашних хозяйств по производству товаров и оказанию услуг для собственного потребления;Предоставление прочих коммунальных, социальных и персональных услуг;Гостиницы и рестораны;Транспорт и связь
Белгородская область;997;51;2 684;96;130;4 012;8 604;2 107;473;721;392;1 674;2 041;960;964;1 378;644;568;1 656;568;96;0;0.4;2 107
Брянская область;643;52;1 446;95;145;1 592;4 163;964;377;427;135;1 271;946;461;1 036;1 137;407;302;1 004;302;95;0;1.4;964
Владимирская область;1 087;105;3 179;239;237;2 330;5 843;1 032;711;626;466;4 083;1 754;816;830;1 183;766;738;1 499;738;239;0;0.9;1 032
Воронежская область;1 274;107;3 486;310;358;5 654;14 066;2 661;759;1 060;555;3 291;3 599;1 558;1 367;1 854;894;1 040;2 277;1 040;310;0;0.9;2 661
Ивановская область;658;24;3 119;273;255;2 939;7 453;1 405;450;494;288;2 104;1 634;857;619;934;440;470;1 422;470;273;0;1.1;1 405
Калужская область;1 129;161;2 646;151;174;2 526;4 349;1 124;552;617;280;2 844;1 486;768;1 071;896;493;486;1 292;486;151;0;1;1 124
Костромская область;698;32;1 512;129;109;1 409;2 557;746;286;265;222;1 239;776;371;635;795;356;498;791;498;129;0;1.2;746
Курская область;741;41;1 352;88;219;2 071;4 264;1 075;284;461;239;1 387;1 166;630;1 055;1 144;685;921;1 287;921;88;0;0.8;1 075
Липецкая область;758;53;1 659;68;141;2 547;4 858;1 021;446;407;543;1 133;1 318;712;796;1 032;471;534;1 206;534;68;0;0.8;1 021
Московская область;4 360;381;17 844;1 146;1 229;20 550;48 096;11 437;4 600;4 957;2 579;30 028;13 979;7 571;1 718;5 579;4 480;3 951;8 172;3 951;1 146;0;1.2;11 437
Орловская область;573;47;1 071;85;104;1 343;2 930;554;208;296;134;864;768;371;792;757;381;321;816;321;85;0;0.7;554
Рязанская область;759;90;2 348;122;264;2 940;6 108;1 230;489;559;275;2 207;1 530;710;1 052;991;571;426;1 603;426;122;0;0.6;1 230
Смоленская область;1 281;109;1 920;116;203;2 635;7 886;2 088;452;570;240;1 214;1 332;616;729;957;570;963;1 119;963;116;0;0.9;2 088
Тамбовская область;873;20;1 098;82;162;1 498;3 733;578;347;349;152;1 114;969;379;949;965;404;444;941;444;82;0;0.9;578
Тверская область;1 376;115;2 602;325;255;2 947;6 226;1 666;811;705;390;3 317;1 946;974;1 227;1 332;768;639;1 594;639;325;0;1.4;1 666
Тульская область;1 403;113;2 716;174;240;3 183;6 616;1 427;653;715;358;2 740;1 950;961;628;1 131;566;482;1 427;482;174;0;0.8;1 427
Ярославская область;1 101;95;3 091;192;235;4 475;8 733;1 847;745;837;402;3 510;2 255;1 261;595;1 229;640;731;1 773;731;192;0;1.2;1 847
г. Москва;2 440;1 458;35 527;1 489;2 008;71 445;198 311;28 468;16 168;35 155;17 939;41 616;83 185;32 114;2 261;6 969;11 206;11 150;21 465;11 150;1 489;0;0.8;28 468
Республика Карелия;840;284;1 281;154;152;1 975;4 006;1 749;632;392;191;1 975;1 082;741;539;583;287;457;1 436;457;154;0;0.9;1 749
Республика Коми;558;184;739;98;106;1 575;3 189;1 177;510;403;200;1 681;1 042;474;805;889;474;402;1 057;402;98;0;0.6;1 177
Архангельская область;657;80;1 220;265;186;2 057;3 771;1 612;682;451;341;2 304;1 257;627;902;910;551;567;1 432;567;265;0;1;1 612
Ненецкий автономный округ;56;21;42;28;5;92;110;57;25;421;321;2 263;1 211;609;810;849;524;532;1 302;532;28;0;0.3;57
Вологодская область;1 299;85;2 508;209;244;5 829;8 423;3 065;620;625;596;2 991;2 084;1 208;919;1 065;632;851;1 355;851;209;0;0.6;3 065
Калининградская область;892;93;3 252;146;211;4 464;10 477;3 134;1 008;857;448;3 124;2 618;1 356;455;807;784;594;1 679;594;146;0;1;3 134
Ленинградская область;1 351;175;3 030;213;316;3 300;5 713;2 060;843;607;274;6 604;1 865;1 088;740;1 090;740;813;1 765;813;213;0;0.8;2 060
Мурманская область;451;44;761;114;132;1 276;3 128;1 143;576;339;206;1 493;995;610;516;698;324;383;960;383;114;0;1.5;1 143
Новгородская область;618;85;1 128;87;119;1 247;2 298;527;364;270;212;1 119;753;349;650;531;287;342;777;342;87;0;1.2;527
