;Сельское, лесное хозяйство, охота, рыболовство и рыбоводство;Добыча полезных ископаемых;Обрабатывающие производства;Обеспечение электрической энергией, газом и паром, кондиционирование воздуха;Водоснабжение, водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений;Строительство;Торговля оптовая и розничная, ремонт автотранспортных средств и мотоциклов;Транспортировка и хранение;Деятельность гостиниц и предприятий общественного питания;Деятельность в области информации и связи;Деятельность по операциям с недвижимым имуществом;Деятельность профессиональная, научная и техническая;Деятельность административная и сопутствующие дополнительные услуги;Государственное управление и обеспечение военной безопасности, социальное обеспечение;Образование;Деятельность в области здравоохранения и социальных услуг;Деятельность в области культуры, спорта, организации досуга и развлечений;Предоставление прочих видов услуг;Деятельность финансовая и страховая;Оптовая и розничная торговля, ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования;Деятельность домашних хозяйств как работодателей, недифференцированная деятельность частных домашних хозяйств по производству товаров и оказанию услуг для собственного потребления;Предоставление прочих коммунальных, социальных и персональных услуг;Гостиницы и рестораны;Транспорт и связь
Белгородская область;208;265.9;551.9;65.8;9.2;43;384.8;9.7;1.8;5.5;2;4.9;1.8;0;0;0.7;0;0;1.8;0.7;0.7;0;0.4;9.7
Брянская область;76.3;0;168.7;23.1;6.7;6.7;95.1;45.1;0.3;0.5;2.5;49;0.3;0;0;0.5;0;0.1;0.3;0.5;0.5;0;1.4;45.1
Владимирская область;13.5;1.8;482.6;54.5;4.4;1.7;175.5;18.5;0.9;1.7;5.4;13;0.8;0;0;1.1;0;0.1;0.9;1.1;1.1;0;0.9;18.5
Воронежская область;132.4;8.1;394.8;112.2;9.2;46.9;459.9;25.6;0.2;4.8;14.4;64.1;4.2;0;0;3.3;0;0.6;0.2;3.3;3.3;0;0.9;25.6
Ивановская область;2.6;0;105.9;22.6;3.1;11.3;32.4;0.7;0.3;0;4.2;1.4;0.6;0;0;0.3;0.1;0.3;0.3;0.3;0.3;0;1.1;0.7
Калужская область;25.1;1.5;961.9;46.8;5.4;35.4;168.6;14.2;0.3;2.1;7.8;25.3;0.8;0;0;0.4;0;0.1;0.3;0.4;0.4;0;1;14.2
Костромская область;7;0;104.4;30.2;2.2;7.6;23.2;1;0;1;0.9;0.5;0.9;0;0;0.6;0;0;0;0.6;0.6;0;1.2;1
Курская область;135.3;0;168;52.9;7.3;16.8;123.2;4.6;1.6;0.1;6.4;0.3;0.9;0;0;0;0;0.1;1.6;0;0;0;0.8;4.6
Липецкая область;158.6;4.2;684.5;48.5;6.8;14.4;106.2;6;0;5.1;12.4;9.3;2.8;0;0;1;0;0.3;0;1;1;0;0.8;6
Московская область;56.1;7.8;3 133.60;663.3;75.4;308;7 369.20;462.9;26.4;45.2;289.2;338;85.3;0.8;1.8;16.5;1.2;3.2;26.4;16.5;16.5;0;1.2;462.9
