;Сельское, лесное хозяйство, охота, рыболовство и рыбоводство;Добыча полезных ископаемых;Обрабатывающие производства;Обеспечение электрической энергией, газом и паром, кондиционирование воздуха;Водоснабжение, водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений;Строительство;Торговля оптовая и розничная, ремонт автотранспортных средств и мотоциклов;Транспортировка и хранение;Деятельность гостиниц и предприятий общественного питания;Деятельность в области информации и связи;Деятельность финансовая и страховая;Деятельность по операциям с недвижимым имуществом;Деятельность профессиональная, научная и техническая;Деятельность административная и сопутствующие дополнительные услуги;Государственное управление и обеспечение военной безопасности, социальное обеспечение;Образование;Деятельность в области здравоохранения и социальных услуг;Деятельность в области культуры, спорта, организации досуга и развлечений;Предоставление прочих видов услуг;Деятельность домашних хозяйств как работодателей, недифференцированная деятельность частных домашних хозяйств по производству товаров и оказанию услуг для собственного потребления;Деятельность в области информации и связи;Оптовая и розничная торговля, ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования;Предоставление прочих коммунальных, социальных и персональных услуг;Гостиницы и рестораны;Транспорт и связь
Белгородская область;16.9;19.2;15.3;1.5;0.5;5.2;12.6;4.7;0.4;1.5;0.1;8.8;1.5;1;3.7;2.6;3.4;0.7;0.4;0;1.5;0.7;0;0.4;4.7
Брянская область;18.8;0;15.3;2.5;0.6;3.6;15.7;7.7;1.4;2;0.3;11.9;1.3;1.5;6.8;3.5;4.6;2.1;0.4;0;1.3;2.1;0;1.4;7.7
Владимирская область;3.4;0.4;32.3;2.6;1.2;4.4;13.1;5.5;0.9;1.8;0.2;12.8;2.9;1.5;5.8;3;6.7;1;0.5;0;2.9;1;0;0.9;5.5
Воронежская область;12.3;0.6;14.4;2.4;0.8;8.6;19;7.7;0.9;2.1;0.3;9.2;4.2;2.4;6.1;3.8;4.1;0.6;0.5;0;4.2;0.6;0;0.9;7.7
Ивановская область;2.8;0.2;18;4.5;1;5.1;15.3;5.7;1.1;2.6;0.3;14.3;4;1.8;10;4.5;6.8;1.3;0.7;0;4;1.3;0;1.1;5.7
Калужская область;5.9;0.3;38;1.4;0.7;5.4;10.2;3.1;1;1.4;0.2;13.2;4.1;1.9;5.1;2.7;4.1;0.8;0.5;0;4.1;0.8;0;1;3.1
Костромская область;6.7;0.1;22.9;8.2;0.9;4.4;12.5;6.4;1.2;2.4;0.3;10.1;1.6;1.8;8.8;4.7;5.4;1.1;0.5;0;1.6;1.1;0;1.2;6.4
Курская область;16.3;13;15.7;5.6;0.7;7.3;10;4.1;0.8;1;0.2;8.2;1.5;1;5.1;3.8;4.5;0.7;0.5;0;1.5;0.7;0;0.8;4.1
Липецкая область;11.6;0.5;35.7;1.8;0.5;7.3;9.9;4.5;0.8;2.3;0.2;10.3;1.4;1;4.7;2.8;3.6;0.6;0.5;0;1.4;0.6;0;0.8;4.5
Московская область;1.6;0.2;18.3;2.3;0.6;5.3;20.5;6.6;1.2;1.8;0.4;15.5;6.4;2.6;8.3;2.8;4;1.1;0.5;0;6.4;1.1;0;1.2;6.6
Орловская область;19.2;0.1;14.7;3.1;0.8;6.6;13.4;7.8;0.7;2;0.2;9.9;1.2;1;6.7;6;5.1;1;0.5;0;1.2;1;0;0.7;7.8
Рязанская область;8.2;0.2;26.7;3.3;0.6;4.6;14.6;5.6;0.6;2.8;0.3;12.8;1.7;1.2;6.5;4.3;4.8;0.8;0.4;0;1.7;0.8;0;0.6;5.6
Смоленская область;4.5;0.3;19;11.1;0.9;4.8;16;10.3;0.9;1.8;0.4;9.1;1.8;1.8;6.8;4;5.3;0.8;0.4;0;1.8;0.8;0;0.9;10.3
Тамбовская область;25.9;0.1;11.9;2.1;0.5;8.3;12.8;6.2;0.9;2.3;0.2;8.4;2;1.3;7.2;3.9;4.3;1;0.7;0;2;1;0;0.9;6.2
Тверская область;6.4;0.1;18.6;6.9;0.7;4.7;15.1;7.6;1.4;2.5;0.2;12.4;3.6;2.6;7.1;3.6;5.1;1;0.4;0;3.6;1;0;1.4;7.6
