Российская Федерация,164606.5,3181.7,15237.1,45112.3,10207.8,1091.0,4828.0,59716.6,11124.7,586.3,4403.6,1840.4,5192.3,1150.7,48.3,7.2,417.7,237.2,223.8
Центральный федеральный округ,79462.0,1129.0,1250.6,18472.0,4784.4,437.2,2369.9,35888.4,5514.4,354.5,3448.0,1102.8,3305.7,778.3,27.7,5.5,211.2,180.3,202.1
Белгородская область,1555.1,208.0,265.9,551.9,65.8,9.2,43.0,384.8,9.7,1.8,5.5,2.0,4.9,1.8,0.0,0.0,0.7,0.0,0.0
Брянская область,486.8,76.3,0.0,168.7,23.1,6.7,6.7,95.1,45.1,0.3,0.5,2.5,49.0,0.3,0.0,0.0,0.5,0.0,0.1
Владимирская область,775.6,13.5,1.8,482.6,54.5,4.4,1.7,175.5,18.5,0.9,1.7,5.4,13.0,0.8,0.0,0.0,1.1,0.0,0.1
Воронежская область,1281.4,132.4,8.1,394.8,112.2,9.2,46.9,459.9,25.6,0.2,4.8,14.4,64.1,4.2,0.0,0.0,3.3,0.0,0.6
Ивановская область,186.5,2.6,0.0,105.9,22.6,3.1,11.3,32.4,0.7,0.3,0.0,4.2,1.4,0.6,0.0,0.0,0.3,0.1,0.3
Калужская область,1295.7,25.1,1.5,961.9,46.8,5.4,35.4,168.6,14.2,0.3,2.1,7.8,25.3,0.8,0.0,0.0,0.4,0.0,0.1
Костромская область,179.8,7.0,0.0,104.4,30.2,2.2,7.6,23.2,1.0,0.0,1.0,0.9,0.5,0.9,0.0,0.0,0.6,0.0,0.0
Курская область,623.9,135.3,0.0,168.0,52.9,7.3,16.8,123.2,4.6,1.6,0.1,6.4,0.3,0.9,0.0,0.0,0.0,0.0,0.1
Липецкая область,1060.3,158.6,4.2,684.5,48.5,6.8,14.4,106.2,6.0,0.0,5.1,12.4,9.3,2.8,0.0,0.0,1.0,0.0,0.3
Московская область,12884.1,56.1,7.8,3133.6,663.3,75.4,308.0,7369.2,462.9,26.4,45.2,289.2,338.0,85.3,0.8,1.8,16.5,1.2,3.2
Орловская область,288.9,60.1,0.2,97.8,21.3,4.9,4.7,96.2,2.0,0.1,0.1,0.6,0.2,0.4,0.0,0.0,0.2,0.0,0.1
Рязанская область,598.1,34.5,1.0,328.3,40.6,2.7,6.7,158.6,6.1,1.2,1.6,9.9,6.4,0.1,0.0,0.0,0.2,0.2,0.0
Смоленская область,441.1,7.2,1.1,172.2,14.7,9.1,9.6,194.6,24.9,0.0,0.2,3.1,1.9,2.3,0.0,0.0,0.1,0.0,0.1
Тамбовская область,439.5,112.2,0.0,140.4,30.4,1.6,11.7,137.3,1.7,0.6,0.4,1.2,0.4,1.4,0.0,0.0,0.0,0.2,0.1
Тверская область,581.2,27.0,0.0,292.4,24.9,5.1,17.5,186.6,15.9,1.3,1.0,2.6,4.3,1.5,0.0,0.0,1.0,0.0,0.2
Тульская область,1154.6,37.6,4.9,775.3,117.7,10.6,19.6,172.5,5.0,0.4,2.4,3.2,1.9,1.6,0.0,0.0,0.0,0.0,0.2
Ярославская область,724.7,23.3,0.6,342.3,94.0,7.1,8.0,169.6,48.6,2.1,7.6,7.8,8.0,1.8,0.0,0.0,1.1,2.3,0.5
г. Москва,54904.6,12.2,846.0,9567.2,3321.0,266.5,1800.1,25834.9,4821.9,316.7,3368.7,729.3,2776.9,670.8,25.1,3.6,183.3,164.5,195.9
Северо-Западный федеральный округ,21931.6,340.4,724.6,7754.7,885.1,113.0,801.4,8036.1,1420.7,114.8,619.8,308.6,611.1,111.9,2.5,0.4,51.1,23.9,11.4
Республика Карелия,256.6,18.6,88.2,84.0,15.9,3.0,4.8,29.9,5.6,0.5,0.9,1.5,2.8,0.8,0.0,0.0,0.2,0.0,0.0
Республика Коми,856.1,5.5,312.2,185.9,50.8,3.2,10.7,16.1,256.7,2.2,0.4,4.4,4.3,3.3,0.0,0.0,0.0,0.1
Архангельская область,453.5,22.0,81.7,208.1,23.8,2.7,5.5,52.5,43.1,1.7,0.7,2.5,5.2,3.4,0.0,0.0,0.2,0.0,0.3
