Российская Федерация,3517446.0,95342.0,16720.0,265967.0,19978.0,22376.0,404999.0,937057.0,208596.0,86886.0,108345.0,59314.0,309413.0,301537.0,138737.0,87404.0,126178.0,82681.0,74580.0,170673.0
Центральный федеральный округ,1201916.0,22151.0,3054.0,89300.0,5180.0,6468.0,136096.0,344796.0,61430.0,28811.0,49221.0,25589.0,105636.0,122634.0,52090.0,18324.0,30263.0,24742.0,24664.0,51344.0
Белгородская область,30152.0,997.0,51.0,2684.0,96.0,130.0,4012.0,8604.0,2107.0,473.0,721.0,392.0,1674.0,2041.0,960.0,964.0,1378.0,644.0,568.0,1656.0
Брянская область,16603.0,643.0,52.0,1446.0,95.0,145.0,1592.0,4163.0,964.0,377.0,427.0,135.0,1271.0,946.0,461.0,1036.0,1137.0,407.0,302.0,1004.0
Владимирская область,27527.0,1087.0,105.0,3179.0,239.0,237.0,2330.0,5843.0,1032.0,711.0,626.0,466.0,4083.0,1754.0,816.0,830.0,1183.0,766.0,738.0,1499.0
Воронежская область,46173.0,1274.0,107.0,3486.0,310.0,358.0,5654.0,14066.0,2661.0,759.0,1060.0,555.0,3291.0,3599.0,1558.0,1367.0,1854.0,894.0,1040.0,2277.0
Ивановская область,25839.0,658.0,24.0,3119.0,273.0,255.0,2939.0,7453.0,1405.0,450.0,494.0,288.0,2104.0,1634.0,857.0,619.0,934.0,440.0,470.0,1422.0
Калужская область,23046.0,1129.0,161.0,2646.0,151.0,174.0,2526.0,4349.0,1124.0,552.0,617.0,280.0,2844.0,1486.0,768.0,1071.0,896.0,493.0,486.0,1292.0
Костромская область,13428.0,698.0,32.0,1512.0,129.0,109.0,1409.0,2557.0,746.0,286.0,265.0,222.0,1239.0,776.0,371.0,635.0,795.0,356.0,498.0,791.0
Курская область,19112.0,741.0,41.0,1352.0,88.0,219.0,2071.0,4264.0,1075.0,284.0,461.0,239.0,1387.0,1166.0,630.0,1055.0,1144.0,685.0,921.0,1287.0
Липецкая область,19704.0,758.0,53.0,1659.0,68.0,141.0,2547.0,4858.0,1021.0,446.0,407.0,543.0,1133.0,1318.0,712.0,796.0,1032.0,471.0,534.0,1206.0
Московская область,192674.0,4360.0,381.0,17844.0,1146.0,1229.0,20550.0,48096.0,11437.0,4600.0,4957.0,2579.0,30028.0,13979.0,7571.0,1718.0,5579.0,4480.0,3951.0,8172.0
Орловская область,12416.0,573.0,47.0,1071.0,85.0,104.0,1343.0,2930.0,554.0,208.0,296.0,134.0,864.0,768.0,371.0,792.0,757.0,381.0,321.0,816.0
Рязанская область,24274.0,759.0,90.0,2348.0,122.0,264.0,2940.0,6108.0,1230.0,489.0,559.0,275.0,2207.0,1530.0,710.0,1052.0,991.0,571.0,426.0,1603.0
Смоленская область,25002.0,1281.0,109.0,1920.0,116.0,203.0,2635.0,7886.0,2088.0,452.0,570.0,240.0,1214.0,1332.0,616.0,729.0,957.0,570.0,963.0,1119.0
Тамбовская область,15057.0,873.0,20.0,1098.0,82.0,162.0,1498.0,3733.0,578.0,347.0,349.0,152.0,1114.0,969.0,379.0,949.0,965.0,404.0,444.0,941.0
Тверская область,29216.0,1376.0,115.0,2602.0,325.0,255.0,2947.0,6226.0,1666.0,811.0,705.0,390.0,3317.0,1946.0,974.0,1227.0,1332.0,768.0,639.0,1594.0
Тульская область,27483.0,1403.0,113.0,2716.0,174.0,240.0,3183.0,6616.0,1427.0,653.0,715.0,358.0,2740.0,1950.0,961.0,628.0,1131.0,566.0,482.0,1427.0
Ярославская область,33752.0,1101.0,95.0,3091.0,192.0,235.0,4475.0,8733.0,1847.0,745.0,837.0,402.0,3510.0,2255.0,1261.0,595.0,1229.0,640.0,731.0,1773.0
г. Москва,620458.0,2440.0,1458.0,35527.0,1489.0,2008.0,71445.0,198311.0,28468.0,16168.0,35155.0,17939.0,41616.0,83185.0,32114.0,2261.0,6969.0,11206.0,11150.0,21465.0
Северо-Западный федеральный округ,436205.0,8282.0,1382.0,34589.0,2081.0,2379.0,54615.0,114151.0,30849.0,13335.0,13901.0,6559.0,42683.0,37289.0,18988.0,7248.0,11000.0,9014.0,8949.0,18634.0
Республика Карелия,18778.0,840.0,284.0,1281.0,154.0,152.0,1975.0,4006.0,1749.0,632.0,392.0,191.0,1975.0,1082.0,741.0,539.0,583.0,287.0,457.0,1436.0
Республика Коми,15563.0,558.0,184.0,739.0,98.0,106.0,1575.0,3189.0,1177.0,510.0,403.0,200.0,1681.0,1042.0,474.0,805.0,889.0,474.0,402.0,1057.0
Архангельская область,19872.0,657.0,80.0,1220.0,265.0,186.0,2057.0,3771.0,1612.0,682.0,451.0,341.0,2304.0,1257.0,627.0,902.0,910.0,551.0,567.0,1432.0
Ненецкий автономный округ,936.0,56.0,21.0,42.0,28.0,5.0,92.0,110.0,57.0,25.0,30.0,20.0,41.0,46.0,18.0,92.0,61.0,27.0,35.0,130.0
Архангельская область без автономного округа,18936.0,601.0,59.0,1178.0,237.0,181.0,1965.0,3661.0,1555.0,657.0,421.0,321.0,2263.0,1211.0,609.0,810.0,849.0,524.0,532.0,1302.0
Вологодская область,34632.0,1299.0,85.0,2508.0,209.0,244.0,5829.0,8423.0,3065.0,620.0,625.0,596.0,2991.0,2084.0,1208.0,919.0,1065.0,632.0,851.0,1355.0
Калининградская область,36405.0,892.0,93.0,3252.0,146.0,211.0,4464.0,10477.0,3134.0,1008.0,857.0,448.0,3124.0,2618.0,1356.0,455.0,807.0,784.0,594.0,1679.0
Ленинградская область,32606.0,1351.0,175.0,3030.0,213.0,316.0,3300.0,5713.0,2060.0,843.0,607.0,274.0,6604.0,1865.0,1088.0,740.0,1090.0,740.0,813.0,1765.0
Мурманская область,14151.0,451.0,44.0,761.0,114.0,132.0,1276.0,3128.0,1143.0,576.0,339.0,206.0,1493.0,995.0,610.0,516.0,698.0,324.0,383.0,960.0
Новгородская область,11763.0,618.0,85.0,1128.0,87.0,119.0,1247.0,2298.0,527.0,364.0,270.0,212.0,1119.0,753.0,349.0,650.0,531.0,287.0,342.0,777.0
Псковская область,12050.0,770.0,49.0,1090.0,75.0,60.0,1252.0,2869.0,890.0,344.0,275.0,97.0,884.0,701.0,368.0,489.0,477.0,237.0,254.0,867.0
г. Санкт-Петербург,240385.0,846.0,303.0,19580.0,720.0,853.0,31640.0,70277.0,15492.0,7756.0,9682.0,3994.0,20508.0,24892.0,12167.0,1233.0,3950.0,4698.0,4286.0,7306.0
Южный федеральный округ,288329.0,10776.0,1203.0,19908.0,1513.0,2446.0,31045.0,70309.0,15296.0,10481.0,6708.0,4038.0,27232.0,22437.0,10461.0,9976.0,12721.0,8482.0,6490.0,16781.0
Республика Адыгея,6332.0,378.0,78.0,600.0,42.0,58.0,639.0,1212.0,247.0,167.0,127.0,109.0,398.0,397.0,280.0,349.0,401.0,222.0,176.0,447.0
