"",Всего,,,,,,,,,п,о отраслям
"",,"Сельское,",Добыча,Обрабатыв,Обеспече-,Водоснаб-,Строи-,Торговля,Транспор-,Деятель-,Деятель-
"",,лесное,полезных,ающие,ние элек-,жение;,тельство,оптовая,тировка и,ность,ность
"",,"хозяйство, и",скопаемых,производ-,трической,водоотве-,,и розничная;,хранение,гостиниц,в области
"",,"охота,",,ства,"энергией,","дение,",,ремонт,и,предприя-,информа-
"",,рыболов-,,,газом,организа-,,автотран-,,тий общес-,ции
"",,ство,,,и паром;,ция сбора и,,спортных,,твенного,и связи
"",,и рыбовод-,,,кондицио-,утилизации,,средств и,,питания,
"",,ство,,,нирование,"отходов,",,мотоциклов,,,
"",,,,,воздуха,деятель-,,,,,
"",,,,,,ность по,,,,,
"",,,,,,ликвидации,,,,,
"",,,,,,загрязнений,,,,,
Российская Федерация,,,,,,,,,,,
из суммы субъектов,100,"4,1","13,5","16,8","2,9","0,6","5,4","14,2","7,3","1,0","3,0"
Центральный,,,,,,,,,,,
федеральный округ,100,"3,0","0,8","18,0","2,8","0,5","4,7","22,0","6,6","0,9","4,7"
Белгородская область,100,"16,9","19,2","15,3","1,5","0,5","5,2","12,6","4,7","0,4","1,5"
Брянская область,100,"18,8","0,0","15,3","2,5","0,6","3,6","15,7","7,7","1,4","2,0"
Владимирская область,100,"3,4","0,4","32,3","2,6","1,2","4,4","13,1","5,5","0,9","1,8"
Воронежская область,100,"12,3","0,6","14,4","2,4","0,8","8,6","19,0","7,7","0,9","2,1"
Ивановская область,100,"2,8","0,2","18,0","4,5","1,0","5,1","15,3","5,7","1,1","2,6"
Калужская область,100,"5,9","0,3","38,0","1,4","0,7","5,4","10,2","3,1","1,0","1,4"
Костромская область,100,"6,7","0,1","22,9","8,2","0,9","4,4","12,5","6,4","1,2","2,4"
Курская область,100,"16,3","13,0","15,7","5,6","0,7","7,3","10,0","4,1","0,8","1,0"
Липецкая область,100,"11,6","0,5","35,7","1,8","0,5","7,3","9,9","4,5","0,8","2,3"
Московская область,100,"1,6","0,2","18,3","2,3","0,6","5,3","20,5","6,6","1,2","1,8"
Орловская область,100,"19,2","0,1","14,7","3,1","0,8","6,6","13,4","7,8","0,7","2,0"
Рязанская область,100,"8,2","0,2","26,7","3,3","0,6","4,6","14,6","5,6","0,6","2,8"
Смоленская область,100,"4,5","0,3","19,0","11,1","0,9","4,8","16,0","10,3","0,9","1,8"
Тамбовская область,100,"25,9","0,1","11,9","2,1","0,5","8,3","12,8","6,2","0,9","2,3"
Тверская область,100,"6,4","0,1","18,6","6,9","0,7","4,7","15,1","7,6","1,4","2,5"
Тульская область,100,"7,4","0,5","38,4","3,5","0,5","6,3","9,0","4,5","0,8","2,3"
Ярославская область,100,"3,3","0,2","27,4","2,9","0,8","5,0","14,9","11,6","1,2","2,4"
г. Москва,100,"0,1","0,0","15,7","2,7","0,4","4,0","26,1","6,7","0,8","6,6"
Северо-Западный,,,,,,,,,,,
федеральный округ,100,"2,8","7,3","18,3","2,9","0,8","4,7","11,8","10,1","1,1","3,5"
Республика Карелия,100,"5,4","18,8","18,4","2,6","0,7","3,4","6,0","9,4","0,9","1,6"
Республика Коми,100,"1,5","43,8","9,2","2,3","0,5","4,0","4,3","6,6","0,6","1,1"
Архангельская область,100,"3,5","32,3","15,5","1,9","0,4","4,9","6,0","9,4","1,0","0,9"
в том числе:,,,,,,,,,,,
Ненецкий автономный,,,,,,,,,,,
округ,100,"0,3","79,2","0,2","0,8","0,0","5,8","0,7","5,9","0,3","0,2"
Архангельская область,,,,,,,,,,,
без автономного округа,100,"5,5","4,4","24,5","2,6","0,6","4,4","9,2","11,4","1,4","1,4"
Вологодская область,100,"3,9","0,0","38,4","2,3","0,9","6,3","11,2","10,8","0,6","1,7"
Калининградская область,100,"6,2","2,8","20,7","4,4","0,8","5,5","10,3","9,4","1,0","2,5"
Ленинградская область,100,"4,4","0,6","28,9","6,7","0,7","9,1","9,7","13,6","0,8","0,7"
Мурманская область,100,"12,4","10,3","17,9","3,3","0,6","7,1","7,4","8,4","1,5","1,1"
Новгородская область,100,"7,4","0,2","33,9","3,6","0,9","5,7","12,7","6,7","1,2","1,4"
Псковская область,100,"11,7","0,4","15,6","3,2","1,4","5,8","13,6","8,4","1,6","2,8"
г. Санкт-Петербург,100,"0,1","0,3","13,9","2,1","0,9","3,1","15,3","10,4","1,3","5,8"
Южный,,,,,,,,,,,
федеральный округ,100,"9,3","5,9","13,8","2,8","0,7","6,2","13,6","9,6","2,0","2,2"
Республика Адыгея,100,"11,7","1,4","13,1","1,3","0,6","7,0","13,9","3,9","1,7","1,8"
Республика Калмыкия,100,"22,6","1,3","0,8","0,9","0,3","6,9","5,2","24,1","0,3","1,9"
Республика Крым,100,"6,1","3,1","8,4","4,0","1,3","9,7","15,0","4,0","3,0","2,1"
Краснодарский край,100,"8,8","0,5","11,6","2,1","0,7","6,3","14,6","14,5","2,9","2,5"
Астраханская область,100,"5,3","47,9","4,3","2,3","0,3","4,2","6,1","7,0","0,9","1,0"
Волгоградская область,100,"11,5","5,2","24,5","2,2","0,9","5,1","12,0","5,2","0,7","2,3"
Ростовская область,100,"10,7","1,2","17,7","4,3","0,7","6,4","16,0","7,2","1,3","2,1"
г. Севастополь,100,"2,9","0,8","5,5","5,2","1,0","6,1","12,0","2,1","2,4","2,1"
Северо-Кавказский,,,,,,,,,,,
федеральный округ,100,"14,1","0,6","7,3","2,7","0,5","10,7","15,8","5,2","3,0","2,0"
Республика Дагестан,100,"16,7","0,5","4,7","1,3","0,1","15,5","20,3","5,3","5,1","1,6"
Республика Ингушетия,100,"10,5","1,4","2,8","1,6","0,8","11,9","10,1","2,0","0,3","2,4"
Кабардино-Балкарская,,,,,,,,,,,
Республика,100,"17,3","0,1","8,3","2,7","0,4","10,8","15,2","2,8","1,7","2,1"
Карачаево-Черкесская,,,,,,,,,,,
Республика,100,"18,0","1,5","10,2","6,4","0,6","7,0","8,8","2,1","0,8","1,7"
Республика Северная,,,,,,,,,,,
Осетия – Алания,100,"13,5","0,3","4,9","0,8","0,9","6,9","14,8","4,2","1,4","2,6"
Чеченская Республика,100,"10,2","1,0","2,0","2,5","0,3","11,7","12,5","3,4","2,9","1,7"
Ставропольский край,100,"12,5","0,5","11,4","4,0","0,8","7,3","14,8","6,9","2,3","2,2"
