экономики,,,,,,,,,,
Деятель-,Деятель-,Деятель-,Деятель-,Государ- О,бразование,Деятель-,Деятель-,Предоста-,Деятель-,
ность,ность по,ность,ность,ственное,,ность в,ность,вление,ность,
финансовая,операциям с,профессио-,администра-,управление,,области,в области,прочих,домашних,
и страховая,недвижимым,"нальная,",тивная и,и обеспе-,,здравоохра-,"культуры,",видов услуг,хозяйств,
"",имуществом,научная и,сопутствую-,чение,,нения и,"спорта,",,как рабо-,
"",,техническая,щие допол-,военной,,социальных,организации,,тодателей,
"",,,нительные б,езопасности;,,услуг,досуга и,,,
"",,,услуги,социальное,,,развлечений,,,
"",,,,обеспечение,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,Российская Федерация
"0,5","10,0","4,3","2,3","5,6","3,0","4,0","1,0","0,5","0,0",из суммы субъектов
"",,,,,,,,,,Центральный
"0,9","12,0","6,7","2,7","5,8","2,6","3,5","1,2","0,6","0,0",федеральный округ
"0,1","8,8","1,5","1,0","3,7","2,6","3,4","0,7","0,4","0,0",Белгородская область
"0,3","11,9","1,3","1,5","6,8","3,5","4,6","2,1","0,4","0,0",Брянская область
"0,2","12,8","2,9","1,5","5,8","3,0","6,7","1,0","0,5","0,0",Владимирская область
"0,3","9,2","4,2","2,4","6,1","3,8","4,1","0,6","0,5","0,0",Воронежская область
"0,3","14,3","4,0","1,8","10,0","4,5","6,8","1,3","0,7","0,0",Ивановская область
"0,2","13,2","4,1","1,9","5,1","2,7","4,1","0,8","0,5","0,0",Калужская область
"0,3","10,1","1,6","1,8","8,8","4,7","5,4","1,1","0,5","0,0",Костромская область
"0,2","8,2","1,5","1,0","5,1","3,8","4,5","0,7","0,5","0,0",Курская область
"0,2","10,3","1,4","1,0","4,7","2,8","3,6","0,6","0,5","0,0",Липецкая область
"0,4","15,5","6,4","2,6","8,3","2,8","4,0","1,1","0,5","0,0",Московская область
"0,2","9,9","1,2","1,0","6,7","6,0","5,1","1,0","0,5","0,0",Орловская область
"0,3","12,8","1,7","1,2","6,5","4,3","4,8","0,8","0,4","0,0",Рязанская область
"0,4","9,1","1,8","1,8","6,8","4,0","5,3","0,8","0,4","0,0",Смоленская область
"0,2","8,4","2,0","1,3","7,2","3,9","4,3","1,0","0,7","0,0",Тамбовская область
