Деятель-,Деятель-,Деятель-,Деятель-,Государ- О,бразование,Деятель-,Деятель-,Предоста-,Деятель-,
ность,ность по,ность,ность,ственное,,ность в,ность,вление,ность,
финансовая,операциям с,профессио-,администра-,управление,,области,в области,прочих,домашних,
и страховая,недвижимым,"нальная,",тивная и,и обеспе-,,здравоохра-,"культуры,",видов услуг,хозяйств,
"",имуществом,научная и,сопутствую-,чение,,нения и,"спорта,",,как рабо-,
"",,техническая,щие допол-,военной,,социальных,организации,,тодателей,
"",,,нительные б,езопасности;,,услуг,досуга и,,,
"",,,услуги,социальное,,,развлечений,,,
"",,,,обеспечение,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,Приволжский
"0,2","9,2","3,2","1,8","4,7","3,1","4,0","0,8","0,5","0,0",федеральный округ
"0,2","8,9","3,6","2,1","4,1","3,7","4,4","0,5","0,4","0,0",Республика Башкортостан
"0,2","9,6","1,6","1,3","6,9","4,1","4,7","1,2","0,4","0,0",Республика Марий Эл
"0,2","10,2","2,0","1,7","7,9","3,8","4,8","1,0","0,4","0,0",Республика Мордовия
"0,3","8,0","3,1","1,5","3,4","2,6","2,3","1,0","0,5","0,0",Республика Татарстан
"0,2","8,7","2,3","1,3","4,5","3,2","4,6","0,8","0,6","0,0",Удмуртская Республика
"0,4","12,5","2,8","0,9","6,3","4,3","5,5","0,9","0,6","0,0",Чувашская Республика
"0,2","7,4","2,6","1,4","4,2","2,6","3,4","0,5","0,3","0,0",Пермский край
"0,3","11,1","2,1","2,0","8,2","4,4","6,6","1,1","0,7","0,0",Кировская область
"0,2","11,4","5,5","2,5","4,6","3,1","4,1","1,0","0,5","0,0",Нижегородская область
"0,2","5,4","1,2","1,0","4,1","2,6","3,5","0,5","0,3","0,0",Оренбургская область
"0,2","12,2","3,1","1,7","5,7","3,7","5,9","1,0","0,5","0,0",Пензенская область
"0,3","11,1","4,1","2,4","4,1","2,8","3,4","0,6","0,4","0,0",Самарская область
"0,2","9,9","2,5","1,9","6,9","3,8","6,1","0,8","0,5","0,0",Саратовская область
"0,2","11,0","2,7","1,9","10,1","4,4","5,5","1,1","0,6","0,0",Ульяновская область
"",,,,,,,,,,Уральский
"0,1","5,3","2,7","1,8","3,1","2,0","2,7","0,5","0,2","0,0",федеральный округ
"0,2","8,1","1,5","1,4","9,6","5,0","7,5","1,2","0,4","0,0",Курганская область
"0,2","10,4","4,2","2,0","5,7","3,1","4,1","0,7","0,6","0,0",Свердловская область
"0,1","3,0","2,1","1,8","1,9","1,3","1,7","0,3","0,1","0,0",Тюменская область
"",,,,,,,,,,в том числе:
"",,,,,,,,,,Ханты-Мансийский
"",,,,,,,,,,автономный округ –
"0,1","3,1","0,9","1,5","1,6","1,3","1,7","0,3","0,1","0,0",Югра
"",,,,,,,,,,Ямало-Ненецкий
"0,1","0,9","0,8","2,0","1,4","0,8","1,2","0,2","0,0","0,0",автономный округ
"",,,,,,,,,,Тюменская область
"0,3","8,2","9,6","2,1","4,1","2,9","2,9","0,6","0,3","0,0",без автономных округов
"0,2","9,7","3,7","1,8","4,8","3,4","5,1","0,7","0,5","0,0",Челябинская область
"",,,,,,,,,,Сибирский
"0,2","8,4","2,7","2,5","5,6","3,5","4,4","0,7","0,5","0,0",федеральный округ
"0,7","10,1","1,3","1,0","17,0","9,9","7,4","1,7","0,3","0,0",Республика Алтай
"0,2","8,4","1,0","0,8","18,2","11,8","12,0","1,9","0,2","0,0",Республика Тыва
"0,1","7,0","1,3","1,4","7,7","3,5","4,9","0,7","0,2","0,0",Республика Хакасия
"0,3","13,0","2,1","2,8","7,1","4,6","5,9","0,8","0,7","0,0",Алтайский край
"0,1","5,7","1,9","1,5","3,9","2,4","3,2","0,7","0,4","0,0",Красноярский край
"0,1","6,5","2,1","2,3","6,3","3,3","4,6","0,5","0,5","0,0",Иркутская область
"0,2","7,6","2,1","2,0","5,5","3,6","5,4","0,6","0,4","0,0",Кемеровская область
"0,2","12,5","4,8","5,8","5,1","3,9","4,5","0,8","0,5","0,0",Новосибирская область
"0,2","10,3","3,2","1,6","6,0","4,1","4,9","0,7","0,6","0,0",Омская область
"0,2","9,7","4,4","2,2","6,6","3,9","4,3","0,8","0,3","0,0",Томская область
"",,,,,,,,,,Дальневосточный
"0,1","6,3","1,9","2,2","8,3","3,7","4,7","1,0","0,4","0,0",федеральный округ
"0,2","9,1","1,5","8,8","10,9","6,3","6,3","1,2","0,8","0,0",Республика Бурятия
"0,1","3,6","0,9","1,0","4,7","4,0","4,0","1,1","0,2","0,0",Республика Саха (Якутия)
"0,2","6,7","1,8","1,6","10,5","6,3","6,8","1,0","0,4","0,0",Забайкальский край
"0,1","5,2","1,8","3,8","16,4","4,4","6,4","1,8","0,3","0,0",Камчатский край
"0,1","11,3","2,5","1,9","12,3","3,2","4,7","1,1","0,5","0,0",Приморский край
"0,2","8,7","1,7","2,3","9,9","4,2","5,2","0,9","0,8","0,0",Хабаровский край
"0,2","9,3","6,4","3,7","7,3","4,1","5,2","0,7","0,4","0,0",Амурская область
"0,1","2,3","1,8","1,4","9,1","3,2","5,5","1,3","0,2","0,0",Магаданская область
"0,0","2,7","1,2","1,7","3,8","1,9","3,1","0,6","0,2","0,0",Сахалинская область
"",,,,,,,,,,Еврейская автономная
"0,1","6,9","1,2","0,8","16,2","5,0","9,2","1,4","0,8","0,0",область
"",,,,,,,,,,Чукотский автономный
"0,1","1,1","0,2","1,3","12,8","4,2","4,9","0,8","0,3","0,0",округ
