"",Всего,,,,,,,из них,по видам эк,ономической
"",предприятий,"сельское,",добыча,обрабаты- о,беспечение,водоснаб-,строитель-,торговля,транспорти-,деятель-
"",и организа-,лесное,полезных,вающие,электриче-,жение;,ство,оптовая и,ровка и,ность гости-
"",ций,"хозяйство,",ископаемых,производ-,ской энерги-,водоотведе-,,розничная;,хранение,ниц и пред-
"",,"охота,",,ства,"ей, газом и","ние, органи-",,ремонт,,приятий
"",,рыболов-,,,паром;,зация сбора,,автотранс-,,обществен-
"",,ство и,,,кондицио-,и утилиза-,,портных,,ного пита-
"",,рыбовод-,,,нирование,"ции отходв,",,средств и,,ния
"",,ство,,,воздуха,деятель-,,мотоциклов,,
"",,,,,,ность по,,,,
"",,,,,,ликвидации,,,,
"",,,,,,загрязнений,,,,
Российская Федерация,3 517 446,95 342,16 720,265 967,19 978,22 376,404 999,937 057,208 596,86 886
Центральный,,,,,,,,,,
федеральный округ,1 201 916,22 151,3 054,89 300,5 180,6 468,136 096,344 796,61 430,28 811
Белгородская область,30 152,997,51,2 684,96,130,4 012,8 604,2 107,473
Брянская область,16 603,643,52,1 446,95,145,1 592,4 163,964,377
Владимирская область,27 527,1 087,105,3 179,239,237,2 330,5 843,1 032,711
Воронежская область,46 173,1 274,107,3 486,310,358,5 654,14 066,2 661,759
Ивановская область,25 839,658,24,3 119,273,255,2 939,7 453,1 405,450
Калужская область,23 046,1 129,161,2 646,151,174,2 526,4 349,1 124,552
Костромская область,13 428,698,32,1 512,129,109,1 409,2 557,746,286
Курская область,19 112,741,41,1 352,88,219,2 071,4 264,1 075,284
Липецкая область,19 704,758,53,1 659,68,141,2 547,4 858,1 021,446
Московская область,192 674,4 360,381,17 844,1 146,1 229,20 550,48 096,11 437,4 600
Орловская область,12 416,573,47,1 071,85,104,1 343,2 930,554,208
Рязанская область,24 274,759,90,2 348,122,264,2 940,6 108,1 230,489
Смоленская область,25 002,1 281,109,1 920,116,203,2 635,7 886,2 088,452
Тамбовская область,15 057,873,20,1 098,82,162,1 498,3 733,578,347
Тверская область,29 216,1 376,115,2 602,325,255,2 947,6 226,1 666,811
Тульская область,27 483,1 403,113,2 716,174,240,3 183,6 616,1 427,653
Ярославская область,33 752,1 101,95,3 091,192,235,4 475,8 733,1 847,745
г. Москва,620 458,2 440,1 458,35 527,1 489,2 008,71 445,198 311,28 468,16 168
Северо-Западный,,,,,,,,,,
федеральный округ,436 205,8 282,1 382,34 589,2 081,2 379,54 615,114 151,30 849,13 335
Республика Карелия,18 778,840,284,1 281,154,152,1 975,4 006,1 749,632
Республика Коми,15 563,558,184,739,98,106,1 575,3 189,1 177,510
Архангельская область,19 872,657,80,1 220,265,186,2 057,3 771,1 612,682
в том числе:,,,,,,,,,,
Ненецкий автономный,,,,,,,,,,
округ,936,56,21,42,28,5,92,110,57,25
Архангельская область,,,,,,,,,,
без автономного округа,18 936,601,59,1 178,237,181,1 965,3 661,1 555,657
Вологодская область,34 632,1 299,85,2 508,209,244,5 829,8 423,3 065,620
Калининградская область,36 405,892,93,3 252,146,211,4 464,10 477,3 134,1 008
Ленинградская область,32 606,1 351,175,3 030,213,316,3 300,5 713,2 060,843
Мурманская область,14 151,451,44,761,114,132,1 276,3 128,1 143,576
Новгородская область,11 763,618,85,1 128,87,119,1 247,2 298,527,364
Псковская область,12 050,770,49,1 090,75,60,1 252,2 869,890,344
г. Санкт-Петербург,240 385,846,303,19 580,720,853,31 640,70 277,15 492,7 756
Южный,,,,,,,,,,
федеральный округ,288 329,10 776,1 203,19 908,1 513,2 446,31 045,70 309,15 296,10 481
Республика Адыгея,6 332,378,78,600,42,58,639,1 212,247,167
Республика Калмыкия,3 676,266,14,116,14,39,314,589,95,82
Республика Крым,31 370,1 382,250,1 771,132,268,3 111,5 687,1 113,1 887
Краснодарский край,111 280,3 703,402,7 433,604,792,13 815,28 209,6 481,4 665
Астраханская область,13 597,976,51,867,81,125,1 271,2 905,745,450
Волгоградская область,35 512,1 351,85,2 400,230,626,3 186,7 872,1 734,847
Ростовская область,75 575,2 526,307,6 003,376,465,7 360,21 701,4 493,1 838
г. Севастополь,10 987,194,16,718,34,73,1 349,2 134,388,545
Северо-Кавказский,,,,,,,,,,
федеральный округ,107 000,8 503,626,7 423,669,809,12 932,22 260,3 454,2 097
Республика Дагестан,29 818,3 301,222,1 623,183,195,4 195,4 910,921,444
Республика Ингушетия,5 256,200,29,510,18,54,1 142,1 300,113,39
Кабардино-Балкарская,,,,,,,,,,
Республика,10 015,979,62,948,63,139,950,2 075,296,256
Карачаево-Черкесская,,,,,,,,,,
Республика,6 007,448,76,495,43,66,620,1 095,200,163
Республика Северная,,,,,,,,,,
Осетия – Алания,9 014,751,73,780,93,79,894,1 651,299,188
Чеченская Республика,9 515,907,40,389,30,47,1 556,2 043,229,86
Ставропольский край,37 375,1 917,124,2 678,239,229,3 575,9 186,1 396,921
