деятельности,,,,,,,,,,
деятель-,деятель-,деятель-,деятель-,деятель-,государ-,образо-,деятель-,деятель-,предостав-,
ность в,ность фи-,ность по,ность про-,ность адми-,ственное,вание,ность в,ность в,ление,
области,нансовая и,операциям,фессио-,нистратив-,управление,,области,области,прочих,
информа-,страховая,с недвижи-,"нальная,",ная и сопут-,и обеспече-,,здравоохра-,"культуры,",видов услуг,
ции и связи,,мом имуще-,научная и,ствующие,ние военной,,нения и,"спорта,",,
"",,ством,техническая,дополни-,безопасно-,,социальных,организации,,
"",,,,тельные,сти; соци-,,услуг,досуга и,,
"",,,,услуги,альное,,р,азвлечений,,
"",,,,о,беспечение,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
108 345,59 314,309 413,301 537,138 737,87 404,126 178,82 681,74 580,170 673,Российская Федерация
"",,,,,,,,,,Центральный
49 221,25 589,105 636,122 634,52 090,18 324,30 263,24 742,24 664,51 344,федеральный округ
721,392,1 674,2 041,960,964,1 378,644,568,1 656,Белгородская область
427,135,1 271,946,461,1 036,1 137,407,302,1 004,Брянская область
626,466,4 083,1 754,816,830,1 183,766,738,1 499,Владимирская область
1 060,555,3 291,3 599,1 558,1 367,1 854,894,1 040,2 277,Воронежская область
494,288,2 104,1 634,857,619,934,440,470,1 422,Ивановская область
617,280,2 844,1 486,768,1 071,896,493,486,1 292,Калужская область
265,222,1 239,776,371,635,795,356,498,791,Костромская область
461,239,1 387,1 166,630,1 055,1 144,685,921,1 287,Курская область
407,543,1 133,1 318,712,796,1 032,471,534,1 206,Липецкая область
4 957,2 579,30 028,13 979,7 571,1 718,5 579,4 480,3 951,8 172,Московская область
296,134,864,768,371,792,757,381,321,816,Орловская область
559,275,2 207,1 530,710,1 052,991,571,426,1 603,Рязанская область
570,240,1 214,1 332,616,729,957,570,963,1 119,Смоленская область
349,152,1 114,969,379,949,965,404,444,941,Тамбовская область
705,390,3 317,1 946,974,1 227,1 332,768,639,1 594,Тверская область
715,358,2 740,1 950,961,628,1 131,566,482,1 427,Тульская область
837,402,3 510,2 255,1 261,595,1 229,640,731,1 773,Ярославская область
35 155,17 939,41 616,83 185,32 114,2 261,6 969,11 206,11 150,21 465,г. Москва
"",,,,,,,,,,Северо-Западный
13 901,6 559,42 683,37 289,18 988,7 248,11 000,9 014,8 949,18 634,федеральный округ
392,191,1 975,1 082,741,539,583,287,457,1 436,Республика Карелия
403,200,1 681,1 042,474,805,889,474,402,1 057,Республика Коми
451,341,2 304,1 257,627,902,910,551,567,1 432,Архангельская область
"",,,,,,,,,,в том числе:
"",,,,,,,,,,Ненецкий автономный
30,20,41,46,18,92,61,27,35,130,округ
"",,,,,,,,,,Архангельская область
421,321,2 263,1 211,609,810,849,524,532,1 302,без автономного округа
625,596,2 991,2 084,1 208,919,1 065,632,851,1 355,Вологодская область
857,448,3 124,2 618,1 356,455,807,784,594,1 679,Калининградская область
607,274,6 604,1 865,1 088,740,1 090,740,813,1 765,Ленинградская область
339,206,1 493,995,610,516,698,324,383,960,Мурманская область
270,212,1 119,753,349,650,531,287,342,777,Новгородская область
275,97,884,701,368,489,477,237,254,867,Псковская область
9 682,3 994,20 508,24 892,12 167,1 233,3 950,4 698,4 286,7 306,г. Санкт-Петербург
"",,,,,,,,,,Южный
6 708,4 038,27 232,22 437,10 461,9 976,12 721,8 482,6 490,16 781,федеральный округ
127,109,398,397,280,349,401,222,176,447,Республика Адыгея
64,52,130,223,104,497,373,186,109,409,Республика Калмыкия
631,308,4 718,2 044,1 008,1 058,1 372,1 091,658,2 879,Республика Крым
2 569,1 501,8 829,9 317,4 363,3 061,4 338,3 410,2 648,5 134,Краснодарский край
298,220,1 298,930,509,613,642,426,271,917,Астраханская область
809,551,3 135,2 903,1 553,1 779,1 901,984,1 025,2 537,Волгоградская область
1 943,1 161,6 736,5 771,2 228,2 489,3 419,1 814,1 349,3 589,Ростовская область
267,136,1 988,852,416,130,275,349,254,869,г. Севастополь
"",,,,,,,,,,Северо-Кавказский
2 326,1 611,6 023,6 020,3 057,5 768,8 752,4 189,2 979,7 491,федеральный округ
680,414,1 076,1 303,717,1 999,3 214,1 110,1 021,2 284,Республика Дагестан
110,87,89,204,161,232,345,194,162,267,Республика Ингушетия
"",,,,,,,,,,Кабардино-Балкарская
188,154,552,524,256,481,526,394,287,885,Республика
"",,,,,,,,,,Карачаево-Черкесская
106,85,282,318,182,389,479,200,102,658,Республика
"",,,,,,,,,,Республика Северная
218,164,601,497,287,459,601,402,264,712,Осетия – Алания
205,188,235,421,210,614,1 301,356,246,410,Чеченская Республика
819,519,3 188,2 753,1 244,1 594,2 286,1 533,897,2 275,Ставропольский край
