"",предприятий,"сельское,",добыча,обрабаты- о,беспечение,водоснаб-,строитель-,торговля,транспорти-,деятель-
"",и организа-,лесное,полезных,вающие,электриче-,жение;,ство,оптовая и,ровка и,ность гости-
"",ций,"хозяйство,",ископаемых,производ-,ской энерги-,водоотведе-,,розничная;,хранение,ниц и пред-
"",,"охота,",,ства,"ей, газом и","ние, органи-",,ремонт,,приятий
"",,рыболов-,,,паром;,зация сбора,,автотранс-,,обществен-
"",,ство и,,,кондицио-,и утилиза-,,портных,,ного пита-
"",,рыбовод-,,,нирование,"ции отходв,",,средств и,,ния
"",,ство,,,воздуха,деятель-,,мотоциклов,,
"",,,,,,ность по,,,,
"",,,,,,ликвидации,,,,
"",,,,,,загрязнений,,,,
Приволжский,,,,,,,,,,
федеральный округ,634 503,17 608,2 834,53 334,4 109,4 712,76 080,163 640,37 542,13 525
Республика Башкортостан,77 126,2 480,568,6 007,378,536,11 664,19 485,3 396,1 672
Республика Марий Эл,11 148,368,36,1 381,124,108,1 009,2 663,505,329
Республика Мордовия,13 160,489,23,759,89,75,1 140,2 337,464,190
Республика Татарстан,106 423,1 901,505,8 926,414,642,15 061,28 265,5 764,2 094
Удмуртская Республика,33 816,754,194,3 239,228,189,3 979,9 220,1 655,699
Чувашская Республика,20 523,578,35,2 075,156,115,2 409,4 808,972,575
Пермский край,57 867,1 402,258,4 477,443,477,6 954,14 206,3 651,1 331
Кировская область,28 564,1 295,83,2 826,328,216,2 415,6 646,2 455,699
Нижегородская область,78 321,1 686,121,7 136,556,522,8 715,22 859,4 276,1 720
Оренбургская область,30 655,2 274,343,1 921,272,332,3 123,6 103,2 075,492
Пензенская область,22 264,793,54,2 177,154,337,2 103,4 997,1 323,437
Самарская область,89 388,1 548,325,6 992,403,537,11 465,27 346,6 564,1 921
Саратовская область,41 465,1 358,225,3 041,364,403,3 693,9 146,2 900,861
Ульяновская область,23 783,682,64,2 377,200,223,2 350,5 559,1 542,505
Уральский,,,,,,,,,,
федеральный округ,285 125,6 042,1 882,23 373,1 974,1 931,33 963,78 580,19 172,6 295
Курганская область,12 491,659,33,904,189,109,1 092,2 310,589,193
Свердловская область,119 138,2 152,514,10 281,693,771,12 923,35 516,7 625,2 546
Тюменская область,77 773,2 010,938,4 518,551,520,11 680,17 273,6 324,2 201
в том числе:,,,,,,,,,,
Ханты-Мансийский авто-,,,,,,,,,,
номный округ – Югра,30 919,932,502,1 452,267,256,4 324,6 537,3 101,867
Ямало-Ненецкий,,,,,,,,,,
автономный округ,8 728,176,162,309,107,74,1 294,1 398,990,271
Тюменская область,,,,,,,,,,
без автономных округов,38 126,902,274,2 757,177,190,6 062,9 338,2 233,1 063
Челябинская область,75 723,1 221,397,7 670,541,531,8 268,23 481,4 634,1 355
Сибирский,,,,,,,,,,
федеральный округ,373 969,11 999,2 055,28 508,2 780,2 362,39 804,100 071,24 966,7 586
Республика Алтай,4 907,381,47,315,58,34,436,849,164,178
Республика Тыва,3 524,278,19,103,29,26,263,371,121,58
Республика Хакасия,7 950,257,143,609,95,75,814,1 582,308,164
Алтайский край,45 678,1 759,113,4 308,376,347,4 492,13 519,3 256,816
Красноярский край,61 807,2 082,495,4 324,448,333,7 040,16 128,4 080,1 194
Иркутская область,53 229,3 352,484,3 205,403,341,5 526,12 892,3 694,1 237
Кемеровская область,37 392,827,428,2 921,356,332,3 432,8 975,2 255,869
Новосибирская область,96 079,1 593,155,7 857,568,453,10 475,29 902,6 641,1 883
Омская область,37 195,828,35,2 737,244,255,4 653,9 392,2 494,621
Томская область,26 208,642,136,2 129,203,166,2 673,6 461,1 953,566
Дальневосточный,,,,,,,,,,
федеральный округ,190 399,9 981,3 684,9 532,1 672,1 269,20 464,43 250,15 887,4 756
Республика Бурятия,20 303,867,410,1 064,245,98,2 031,3 580,898,564
Республика Саха (Якутия),22 921,1 493,713,993,261,170,3 191,2 785,1 515,406
Забайкальский край,13 153,744,475,579,169,80,1 232,2 369,806,278
Камчатский край,9 518,904,58,472,73,79,995,1 676,729,286
Приморский край,54 006,2 015,250,2 774,162,315,5 063,16 007,6 573,1 417
Хабаровский край,34 419,1 473,367,1 870,292,223,4 068,9 186,3 057,946
Амурская область,14 202,602,691,662,245,146,1 537,3 502,653,295
Магаданская область,4 086,258,485,158,46,23,300,698,403,86
Сахалинская область,14 213,1 331,152,778,100,92,1 797,2 891,1 051,401
Еврейская автономная,,,,,,,,,,
область,2 465,178,35,146,49,30,180,437,111,56
Чукотский автономный округ,1 113,116,48,36,30,13,70,119,91,21
?????,,,,,,,,,,
1) По данным государственной реги,страции.,,,,,,,,,
