деятель-,деятель-,деятель-,деятель-,деятель-,государ-,образо-,деятель-,деятель-,предостав-,
ность в,ность фи-,ность по,ность про-,ность адми-,ственное,вание,ность в,ность в,ление,
области,нансовая и,операциям,фессио-,нистратив-,управление,,области,области,прочих,
информа-,страховая,с недвижи-,"нальная,",ная и сопут-,и обеспече-,,здравоохра-,"культуры,",видов услуг,
ции и связи,,мом имуще-,научная и,ствующие,ние военной,,нения и,"спорта,",,
"",,ством,техническая,дополни-,безопасно-,,социальных,организации,,
"",,,,тельные,сти; соци-,,услуг,досуга и,,
"",,,,услуги,альное,,р,азвлечений,,
"",,,,о,беспечение,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,Приволжский
15 514,9 313,55 954,47 187,22 904,20 375,27 524,15 441,12 706,34 098,федеральный округ
1 612,1 097,4 891,5 808,2 779,2 892,3 781,1 942,1 273,4 847,Республика Башкортостан
308,155,895,626,294,470,698,297,234,648,Республика Марий Эл
254,215,1 390,818,321,903,772,807,878,1 234,Республика Мордовия
3 157,1 911,7 266,8 584,4 169,3 411,4 657,2 410,2 006,5 224,Республика Татарстан
848,433,2 609,2 680,1 212,1 113,1 688,649,614,1 810,Удмуртская Республика
484,296,1 830,1 504,565,1 031,1 007,479,383,1 221,Чувашская Республика
1 626,875,7 017,4 581,2 124,1 465,1 566,1 257,1 279,2 869,Пермский край
511,410,2 929,1 543,836,1 276,1 389,529,780,1 397,Кировская область
1 954,1 038,7 014,6 209,3 159,1 574,2 938,2 004,1 332,3 504,Нижегородская область
634,400,2 319,2 059,1 012,1 291,2 129,1 238,633,2 004,Оренбургская область
550,310,2 104,1 409,570,1 079,1 258,577,411,1 620,Пензенская область
2 036,1 237,7 830,6 590,3 863,1 537,2 167,1 718,1 451,3 854,Самарская область
892,660,5 665,3 077,1 245,1 514,2 370,910,948,2 191,Саратовская область
648,276,2 195,1 699,755,819,1 104,624,484,1 675,Ульяновская область
"",,,,,,,,,,Уральский
7 303,3 823,24 177,22 761,10 950,6 576,10 948,6 867,5 760,12 723,федеральный округ
258,174,1 453,698,325,853,906,616,392,736,Курганская область
3 238,1 646,11 440,9 972,4 738,2 075,3 962,2 242,2 171,4 620,Свердловская область
2 023,933,5 804,6 640,3 110,2 021,2 908,2 202,1 665,4 446,Тюменская область
"",,,,,,,,,,в том числе:
"",,,,,,,,,,Ханты-Мансийский авто-
800,375,2 131,2 379,1 301,761,1 249,1 038,718,1 927,номный округ – Югра
"",,,,,,,,,,Ямало-Ненецкий
200,100,607,516,309,519,485,266,233,711,автономный округ
"",,,,,,,,,,Тюменская область
1 023,458,3 066,3 745,1 500,741,1 174,898,714,1 808,без автономных округов
1 784,1 070,5 480,5 451,2 777,1 627,3 172,1 807,1 532,2 921,Челябинская область
"",,,,,,,,,,Сибирский
9 411,5 619,33 087,28 568,13 789,11 268,15 840,9 359,7 952,18 893,федеральный округ
94,103,342,290,261,326,296,141,136,456,Республика Алтай
87,69,171,166,108,484,418,180,218,355,Республика Тыва
245,204,552,524,244,416,557,232,274,655,Республика Хакасия
867,613,3 339,2 575,1 383,2 311,1 667,853,666,2 417,Алтайский край
1 575,733,5 391,4 846,2 338,1 814,2 645,1 932,1 439,2 965,Красноярский край
1 232,959,4 129,3 852,1 890,1 885,2 769,1 241,1 382,2 733,Иркутская область
880,666,3 464,2 967,1 603,1 025,2 276,1 178,1 014,1 918,Кемеровская область
2 611,1 475,9 687,7 877,3 738,1 253,2 529,1 921,1 712,3 740,Новосибирская область
911,446,3 440,3 026,1 374,1 164,1 777,955,589,2 252,Омская область
909,351,2 572,2 445,850,590,906,726,522,1 402,Томская область
"",,,,,,,,,,Дальневосточный
3 961,2 762,14 621,14 641,6 498,7 869,9 130,4 587,5 080,10 709,федеральный округ
429,316,1 395,3 189,634,1 117,1 260,477,402,1 325,Республика Бурятия
625,504,1 880,1 599,593,1 389,1 603,628,926,1 641,Республика Саха (Якутия)
254,239,882,713,389,1 109,1 326,346,388,773,Забайкальский край
213,151,984,580,466,431,357,221,293,546,Камчатский край
1 001,628,4 513,3 944,1 798,990,1 732,1 181,1 270,2 361,Приморский край
721,419,2 646,2 389,1 320,938,1 244,842,784,1 626,Хабаровский край
285,207,909,905,539,851,662,350,348,813,Амурская область
99,71,195,257,91,209,177,105,110,314,Магаданская область
249,169,1 004,881,579,510,516,313,419,969,Сахалинская область
"",,,,,,,,,,Еврейская автономная
59,36,184,126,68,175,173,93,103,226,область
26,22,29,58,21,150,80,31,37,115,Чукотский автономный округ
