де€тельности,,,,,,,,,
де€тельность,де€тельность,де€тельность,де€тельность,государ-,образо-,де€тельность,де€тельность,предоставле-,
в области,по операци€м,профессио-,администра-,ственное,вание,в области,в области,ние прочих,
информа-,с недвижи-,"нальна€,",тив-на€ и,управление и,,здравоохра-,"культуры,",видов услуг,
ции и св€зи,мым имуще-,научна€ и,сопутствую-,обеспечение,,нени€ и,"спорта, орга-",,
"",ством,техническа€,щие дополни-,военной,,социальных,низации,,
"",,,тельные,безопасности;,,услуг,досуга и,,
"",,,услуги,социальное,,,развлечений,,
"",,,,обеспечение,,,,,
"",,,,,,,,,
"",,,,,,,,,
"",,,,,,,,,
"",,,,,,,,,
"4 403,6","1 840,4","5 192,3","1 150,7","48,3","7,2","417,7","237,2","223,8",–оссийска€ ‘едераци€
"",,,,,,,,,÷ентральный
"3 448,0","1 102,8","3 305,7","778,3","27,7","5,5","211,2","180,3","202,1",федеральный округ
"5,5","2,0","4,9","1,8",Ц,Ц,"0,7",...2),...2),Ѕелгородска€ область
"0,5","2,5","49,0","0,3",Ц,...2),"0,5",...2),"0,1",Ѕр€нска€ область
"1,7","5,4","13,0","0,8",...2),Ц,"1,1",...2),"0,1",¬ладимирска€ область
"4,8","14,4","64,1","4,2",...2),...2),"3,3","0,0","0,6",¬оронежска€ область
"0,0","4,2","1,4","0,6",Ц,...2),"0,3","0,1","0,3",»вановска€ область
"2,1","7,8","25,3","0,8",...2),Ц,"0,4","0,0","0,1", алужска€ область
"1,0","0,9","0,5","0,9",Ц,Ц,"0,6",...2),...2), остромска€ область
"0,1","6,4","0,3","0,9",Ц,Ц,"0,0",...2),"0,1", урска€ область
"5,1","12,4","9,3","2,8",Ц,...2),"1,0",...2),"0,3",Ћипецка€ область
"45,2","289,2","338,0","85,3","0,8","1,8","16,5","1,2","3,2",ћосковска€ область
"0,1","0,6","0,2","0,4",Ц,...2),"0,2",...2),"0,1",ќрловска€ область
"1,6","9,9","6,4","0,1",Ц,...2),"0,2","0,2","0,0",–€занска€ область
"0,2","3,1","1,9","2,3",Ц,Ц,"0,1","0,0","0,1",—моленска€ область
"0,4","1,2","0,4","1,4",Ц,"0,0",...,"0,2","0,1",“амбовска€ область
"1,0","2,6","4,3","1,5",Ц,...2),"1,0",...2),"0,2",“верска€ область
"2,4","3,2","1,9","1,6",...2),"0,0",...2),...2),"0,2",“ульска€ область
"7,6","7,8","8,0","1,8",...2),Ц,"1,1","2,3","0,5",ярославска€ область
"3 368,7","729,3","2 776,9","670,8","25,1","3,6","183,3","164,5","195,9",г. ћосква
"",,,,,,,,,—еверо-«ападный
"619,8","308,6","611,1","111,9","2,5","0,4","51,1","23,9","11,4",федеральный округ
"0,9","1,5","2,8","0,8",Ц,...2),"0,2","0,0",...2),–еспублика  арели€
"0,4","4,4","4,3","3,3",...2),Ц,,...2),"0,1",–еспублика  оми
"0,7","2,5","5,2","3,4",Ц,...2),"0,2",...2),"0,3",јрхангельска€ область
"",,,,,,,,,в том числе:
"",,,,,,,,,Ќенецкий автономный
...2),"0,2",...2),...2),Ц,Ц,Ц,Ц,...2),округ
"",,,,,,,,,јрхангельска€ область
"0,5","2,3","4,0","2,2",Ц,...2),"0,2",...2),"0,3",без автономного округа
"8,1","1,4","5,6","2,9",...2),...2),...2),"0,1","0,3",¬ологодска€ область
"5,9","12,2","6,4","2,6",...2),...2),"1,3","0,9","0,4", алининградска€ область
"1,3","17,4","14,0","10,6","0,3",Ц,"0,2","4,2","0,8",Ћенинградска€ область
"0,2","3,3","12,3","0,9",Ц,Ц,"1,0",...2),"0,1",ћурманска€ область
"0,2","0,6","2,2","0,6",...2),Ц,"0,9",Ц,"0,4",Ќовгородска€ область
"0,3","0,3",...,...,Ц,Ц,...2),"0,0","0,0",ѕсковска€ область
"601,8","265,2","558,0","86,4","1,5","0,1","47,0","18,6","8,9",г. —анкт-ѕетербург
"",,,,,,,,,ёжный
"22,8","72,5","90,4","23,4","0,8","0,0","43,0","14,8","1,6",федеральный округ
"0,0","0,2","0,4","0,2",Ц,Ц,...2),...2),...2),–еспублика јдыге€
...,"0,1","0,0",...,Ц,...2),...2),...2),Ц,–еспублика  алмыки€
"3,3","7,3","1,2","1,8",...2),...2),"12,6","0,0","0,1",–еспублика  рым
"16,0","39,4","41,2","6,4","0,6","0,0","25,3","7,7","1,0", раснодарский край
"0,0","1,2","0,5","0,8",Ц,Ц,"0,6",...,...2),јстраханска€ область
"0,4","5,6","7,9","2,7",...2),...2),"1,0","0,0","0,1",¬олгоградска€ область
"1,8","16,1","37,1","10,6",Ц,...2),"3,5","7,1","0,3",–остовска€ область
"1,1","2,7","2,2",...,Ц,...2),...2),"0,0","0,0",г. —евастополь
"",,,,,,,,,—еверо- авказский
"4,9","5,1","4,6","5,6",...2),"0,4","9,8","0,6","0,4",федеральный округ
"0,1","0,4","0,0","0,4",Ц,Ц,"0,5",Ц,"0,0",–еспублика ƒагестан
...2),"0,0","0,1","0,2",Ц,Ц,"0,0",...2),...2),–еспублика »нгушети€
"",,,,,,,,, абардино-Ѕалкарска€
...2),"0,1",...2),"0,1",Ц,...2),"0,2",Ц,...2),–еспублика
"",,,,,,,,, арачаево-„еркесска€
"0,0","1,6","0,1","0,4",Ц,...2),"0,0",Ц,"0,0",–еспублика
"",,,,,,,,,–еспублика —еверна€
"0,1","0,1",...2),"0,1",Ц,...2),"0,2",Ц,"0,1",ќсети€ Ц јлани€
"1,7","0,7","1,0","0,2",...2),"0,2","0,6",...2),...2),„еченска€ –еспублика
"3,0","2,2","3,5","4,2",Ц,Ц,"8,2",...2),"0,2",—тавропольский край
