"",,"сельское,",добыча,обрабаты-,обеспечение,водоснаб-,строитель-,торговля,транспорти-,деятель-
"",,лесное,полезных,вающие,электриче-,жение;,ство,оптовая и,ровка и,ность гости-
"",,"хозяйство,",ископаемых,производ-,ской энерги-,водоотведе-,,розничная;,хранение,ниц и пред-
"",,"охота,",,ства,"ей, газом и","ние, органи-",,ремонт,,приятий
"",,рыболов-,,,паром;,зация сбора,,автотранс-,,обществен-
"",,ство и,,,кондицио-,и утилиза-,,портных,,ного пита-
"",,рыбовод-,,,нирование,"ции отходв,",,средств и,,ния
"",,ство,,,воздуха,деятель-,,мотоциклов,,
"",,,,,,ность,,,,
"",,,,,,по ликвида-,,,,
"",,,,,,ции загряз-,,,,
"",,,,,,нений,,,,
Приволжский,,,,,,,,,,
федеральный округ,"19 228,2","489,6","2 456,7","7 501,6","1 404,5","189,6","489,3","4 604,3","1 063,4","28,6"
Республика Башкортостан,"2 789,3","46,6","153,1","1 159,9","236,2","19,0","96,2","811,1","144,9","3,5"
Республика Марий Эл,"192,6","32,8",-,"97,1","19,6","4,6","3,2","27,2","5,1","0,2"
Республика Мордовия,"333,2","55,1",...2),"200,4","21,9","8,0","8,8","26,2","7,1","0,3"
Республика Татарстан,"4 289,9","84,0","953,7","1 423,7","287,4","25,9","109,6","1 030,0","179,6","7,7"
Удмуртская Республика,"656,4","32,6","200,5","267,3","32,2","5,7","13,1","75,4","12,6","0,7"
Чувашская Республика,"300,9","7,8",...2),"160,9","26,2","15,9","20,4","53,7","4,3","0,4"
Пермский край,"1 890,6","22,0","278,9","929,4","92,7","16,9","55,5","305,9","74,4","3,0"
Кировская область,"308,5","27,1","2,2","150,1","36,6","6,7","6,7","60,4","7,4","0,7"
Нижегородская область,"3 409,5","33,3",...2),"1 268,1","269,6","26,9","60,4","1 184,1","224,1","3,0"
Оренбургская область,"951,2","22,4","475,7","205,3","20,1","16,0","19,8","159,3","22,0","1,1"
Пензенская область,"486,6","65,8","0,4","149,5","34,3","4,0","5,3","192,0","4,4","0,1"
Самарская область,"2 489,3","20,6","352,8","1 015,4","163,6","29,7","50,6","410,4","310,8","3,5"
Саратовская область,"719,0","32,2","34,7","268,5","128,5","5,3","30,7","156,3","46,5","1,6"
Ульяновская область,"411,3","7,4","3,6","206,1","35,6","4,8","9,1","112,4","20,1","2,7"
Уральский,,,,,,,,,,
федеральный округ,"15 838,0","149,5","6 080,8","4 612,5","760,8","133,8","385,1","2 056,4","928,8","19,4"
Курганская область,"216,7","5,7","3,4","108,4","31,2","1,3","11,3","50,2","1,3","0,7"
Свердловская область,"4 305,4","51,2","115,6","1 947,0","188,9","68,5","97,9","1 298,5","208,4","6,5"
Тюменская область,"8 972,3","31,3","5 871,3","1 219,8","361,7","31,1","243,3","289,7","649,6","10,1"
в том числе:,,,,,,,,,,
Ханты-Мансийский авто-,,,,,,,,,,
номный округ – Югра,"4 398,9","0,4","3 236,7","81,3","284,7","16,9","103,4","122,2","474,6","5,2"
Ямало-Ненецкий,,,,,,,,,,
автономный округ,"3 039,1","1,1","2 349,1","516,5","36,9","2,6","51,4","16,1","41,2","2,1"
Тюменская область,,,,,,,,,,
без автономных округов,"1 534,2","29,7","285,5","621,9","40,0","11,6","88,5","151,5","133,8","2,8"
Челябинская область,"2 343,7","61,3","90,5","1 337,4","179,0","32,9","32,6","417,9","69,4","2,1"
Сибирский,,,,,,,,,,
федеральный округ,"11 793,6","268,6","2 200,2","3 656,8","939,1","88,6","265,1","2 922,5","1 068,5","17,0"
Республика Алтай,"56,6","0,5",...2),"9,6","0,8","0,2","2,3","32,9",...2),...2)
Республика Тыва,"29,1","0,1","17,8","0,0","5,4","0,0","3,5","0,0",...2),"0,2"
Республика Хакасия,"201,3","0,9","75,0","87,2","5,2","1,0","6,1","10,6","11,4",...2)
Алтайский край,"734,8","53,8","14,1","252,0","61,3","7,3","14,4","291,6","18,7","0,6"
Красноярский край,"3 408,5","44,9","623,3","1 701,4","260,1","28,7","70,8","407,6","158,7","8,3"
Иркутская область,"1 646,7","50,2","482,2","312,7","205,2","11,4","47,6","331,1","158,6","2,7"
Кемеровская область,"2 290,9","15,7","758,8","587,4","185,3","13,2","65,0","516,0","107,6","1,6"
Новосибирская область,"1 781,0","46,9","52,9","337,2","102,9","17,5","14,4","782,4","343,4","1,8"
Омская область,"701,2","34,0",...2),"231,7","65,7","5,8","25,8","204,4","106,3","0,5"
Томская область,"943,5","21,7","170,9","137,5","47,3","3,5","15,1","345,8","162,7","0,8"
Дальневосточный,,,,,,,,,,
федеральный округ,"5 863,1","299,5","2 157,7","557,5","461,3","25,0","177,7","1 592,3","440,2","12,8"
Республика Бурятия,"223,0","3,1","70,1","72,4","1,8","2,2","4,5","51,6","3,0","0,3"
Республика Саха (Якутия),"788,0","2,1","555,3","13,9","71,6","2,7","18,8","45,7","59,1","0,4"
Забайкальский край,"255,2","1,0","140,4","22,3","35,0","2,0","4,1","29,6","6,2","0,1"
Камчатский край,"266,6","86,4","25,6","41,1","19,8","1,9","6,6","64,2","13,6","0,1"
Приморский край,"1 465,3","93,0","21,7","181,9","130,4","7,1","12,6","830,3","170,7","2,1"
Хабаровский край,"970,0","57,5","125,0","142,7","93,2","5,1","22,6","385,6","105,2","5,4"
Амурская область,"360,6","18,4","112,4","27,8","59,0","0,9","63,6","66,6","5,5","0,2"
Магаданская область,"343,6","13,5","231,9",...2),"21,3","0,6","10,2","54,9","6,1",...2)
Сахалинская область,"1 018,2","24,3","746,9","49,4","20,2","2,2","33,1","41,6","66,4","3,0"
Еврейская автономная,,,,,,,,,,
область,"28,1","0,2","16,9","4,1","1,5","0,3","1,2","3,6","0,0",...2)
Чукотский автономный округ,"144,5","0,2","111,5","1,3","7,4",-,"0,3","18,6","4,3","0,7"
?????,,,,,,,,,,
1) Без субъектов малого предприним,"ательства, го",сударственн,"ых, муниципа",льных учреж,"дений, банков",", страховых и",прочих фина,нсовых и кре,дитных орган,изаций.
2) Данные не публикуются в целях о,беспечения ко,нфиденциал,ьности перви,чных статисти,ческих данны,"х, полученны",х от организа,"ций, в соотв",етствии с Фе,деральным
законом от 29 ноября 2007 г. No 282,-ФЗ « Об офи,циальном ста,тистическом,учете и систе,ме государств,енной статист,ики в Российс,кой Федерац,"ии» (п.5 ст.4,",ч.1 ст.9).
