де€тельность,де€тельность,де€тельность,де€тельность,государ-,образо-,де€тельность,де€тельность,предоставле-,
в области п,о операци€м,профессио-,администра-,ственное,вание,в области,в области,ние прочих,
информа-,с недвижи-,"нальна€,",тив-на€ и,управление и,,здравоохра-,"культуры,",видов услуг,
ции и св€зи,мым имуще-,научна€ и,сопутствую-,обеспечение,,нени€ и,"спорта,",,
"",ством,техническа€,щие дополни-,военной,,социальных,организации,,
"",,,тельные,безопасности;,,услуг,досуга и,,
"",,,услуги,социальное,,,развлечений,,
"",,,,обеспечение,,,,,
"",,,,,,,,,
"",,,,,,,,,
"",,,,,,,,,
"",,,,,,,,,
"",,,,,,,,,ѕриволжский
"194,4","133,7","545,3","58,1","13,0","0,5","42,3","10,1","3,1",федеральный округ
"24,1","14,1","51,8","15,6","0,1","0,0","12,5","0,1","0,3",–еспублика Ѕашкортостан
"0,5","0,7","0,8","0,4",Ц,Ц,"0,3",Ц,"0,1",–еспублика ћарий Ёл
"0,3","0,3","2,9","1,6",Ц,...2),"0,2","0,0","0,0",–еспублика ћордови€
"71,2","21,0","66,6","15,9",...2),"0,2","4,4","8,4","0,2",–еспублика “атарстан
"1,2","3,2","9,0","1,7",Ц,...2),"0,8","0,1","0,2",”дмуртска€ –еспублика
"1,6","2,3","5,9","0,3",Ц,Ц,"0,5",Ц,"0,1",„увашска€ –еспублика
"57,1","6,1","35,5","3,6",...2),"0,2","6,4","0,2","0,2",ѕермский край
"0,2","1,5","5,6","0,3",Ц,...2),"2,8","0,0","0,2", ировска€ область
"25,9","17,8","283,2","6,7",...2),...2),"3,8","0,8","0,3",Ќижегородска€ область
"0,5","3,7","1,1","1,2","1,6",...2),"1,0","0,2","0,2",ќренбургска€ область
"0,3","13,9","14,2","1,7",Ц,Ц,"0,5",...2),"0,1",ѕензенска€ область
"5,2","43,7","61,1","7,3","7,4","0,0","6,3","0,2","0,6",—амарска€ область
"1,8","3,3","6,0","1,4",Ц,Ц,"2,0",...2),"0,3",—аратовска€ область
"4,4","2,2","1,5","0,4",Ц,...2),"0,8","0,0","0,1",”ль€новска€ область
"",,,,,,,,,”ральский
"54,4","99,2","410,3","112,1","2,6","0,2","28,9","1,9","1,5",федеральный округ
"0,2","2,2","0,3","0,3",Ц,...2),...2),Ц,"0,0", урганска€ область
"36,5","49,5","133,0","84,7","0,2","0,0","16,8","1,2","0,9",—вердловска€ область
"11,1","37,5","182,2","24,6","2,4","0,2","5,4","0,5","0,5",“юменска€ область
"",,,,,,,,,в том числе:
"",,,,,,,,,’анты-ћансийский
"1,9","24,4","36,3","9,4",...2),...2),...2),...2),"0,2",автономный округ Ц ёгра
"",,,,,,,,,ямало-Ќенецкий
"0,6","3,2","8,6","7,4",...2),Ц,"0,7",Ц,"0,2",автономный округ
"",,,,,,,,,“юменска€ область
"8,6","9,9","137,4","7,7",Ц,...2),"4,6",...,"0,1",без автономных округов
"6,6","10,0","94,7","2,6",Ц,...2),"6,6","0,1","0,1",„ел€бинска€ область
"",,,,,,,,,—ибирский
"47,4","96,3","155,0","37,0","1,0","0,1","24,6","3,4","2,5",федеральный округ
...2),"4,0",...2),"0,0",Ц,Ц,Ц,...2),...2),–еспублика јлтай
"0,6","0,3",...2),"0,3",Ц,Ц,"0,0",Ц,...2),–еспублика “ыва
...2),"0,6","1,2","1,8",Ц,...2),"0,2",...,"0,0",–еспублика ’акаси€
"1,6","11,2","4,1","0,3",...2),"0,0","3,6","0,1","0,2",јлтайский край
"3,5","23,4","63,1","10,8",Ц,"0,0","3,6","0,1","0,2", расно€рский край
"2,9","9,6","20,6","9,0",...2),...2),"1,3",...2),"0,7",»ркутска€ область
"3,7","15,4","12,9","5,3",Ц,...2),"2,4","0,4","0,4", емеровска€ область
"29,9","12,2","23,1","6,7",Ц,...2),"8,2","0,9","0,5",Ќовосибирска€ область
"2,2","4,8","14,2","1,1",...2),...2),"3,5","0,9","0,2",ќмска€ область
"2,9","14,9","15,9","1,9",...2),...2),"1,8",...2),"0,2",“омска€ область
"",,,,,,,,,ƒальневосточный
"12,0","22,2","69,8","24,3",...2),"0,1","6,7","2,2","1,2",федеральный округ
"0,3","0,6","1,4","11,0",Ц,...2),"0,7",Ц,...2),–еспублика Ѕур€ти€
"4,7","5,8","5,9","1,9",...2),...2),"0,0",Ц,"0,0",–еспублика —аха (якути€)
"1,0","1,1","10,6","0,7",Ц,...2),"1,2",...2),"0,0",«абайкальский край
"0,1","1,9","4,4","0,7",Ц,...2),...2),Ц,"0,1", амчатский край
"4,4","2,6","2,0","2,0",Ц,...2),"2,4","2,0","0,1",ѕриморский край
"0,7","5,4","16,5","3,4",Ц,...2),"1,0","0,0","0,6",’абаровский край
"0,1","0,8","4,4","0,7",Ц,Ц,Ц,...2),"0,1",јмурска€ область
"0,1","0,2","3,5",Ц,Ц,Ц,Ц,Ц,...2),ћагаданска€ область
"0,3","3,8","21,2","3,9",...2),Ц,...2),Ц,"0,1",—ахалинска€ область
"",,,,,,,,,≈врейска€ автономна€
...2),...2),...2),Ц,...2),Ц,...2),Ц,"0,0",область
...2),...2),...2),Ц,Ц,Ц,Ц,Ц,Ц,„укотский автономный округ
