Российская Федерация,3517446.0,95342.0,16720.0,265967.0,19978.0,22376.0,404999.0,937057.0,208596.0,86886.0
Центральный федеральный округ,1201916.0,22151.0,3054.0,89300.0,5180.0,6468.0,136096.0,344796.0,61430.0,28811.0
Белгородская область,30152.0,997.0,51.0,2684.0,96.0,130.0,4012.0,8604.0,2107.0,473.0
Брянская область,16603.0,643.0,52.0,1446.0,95.0,145.0,1592.0,4163.0,964.0,377.0
Владимирская область,27527.0,1087.0,105.0,3179.0,239.0,237.0,2330.0,5843.0,1032.0,711.0
Воронежская область,46173.0,1274.0,107.0,3486.0,310.0,358.0,5654.0,14066.0,2661.0,759.0
Ивановская область,25839.0,658.0,24.0,3119.0,273.0,255.0,2939.0,7453.0,1405.0,450.0
Калужская область,23046.0,1129.0,161.0,2646.0,151.0,174.0,2526.0,4349.0,1124.0,552.0
Костромская область,13428.0,698.0,32.0,1512.0,129.0,109.0,1409.0,2557.0,746.0,286.0
Курская область,19112.0,741.0,41.0,1352.0,88.0,219.0,2071.0,4264.0,1075.0,284.0
Липецкая область,19704.0,758.0,53.0,1659.0,68.0,141.0,2547.0,4858.0,1021.0,446.0
Московская область,192674.0,4360.0,381.0,17844.0,1146.0,1229.0,20550.0,48096.0,11437.0,4600.0
Орловская область,12416.0,573.0,47.0,1071.0,85.0,104.0,1343.0,2930.0,554.0,208.0
Рязанская область,24274.0,759.0,90.0,2348.0,122.0,264.0,2940.0,6108.0,1230.0,489.0
Смоленская область,25002.0,1281.0,109.0,1920.0,116.0,203.0,2635.0,7886.0,2088.0,452.0
Тамбовская область,15057.0,873.0,20.0,1098.0,82.0,162.0,1498.0,3733.0,578.0,347.0
Тверская область,29216.0,1376.0,115.0,2602.0,325.0,255.0,2947.0,6226.0,1666.0,811.0
Тульская область,27483.0,1403.0,113.0,2716.0,174.0,240.0,3183.0,6616.0,1427.0,653.0
Ярославская область,33752.0,1101.0,95.0,3091.0,192.0,235.0,4475.0,8733.0,1847.0,745.0
г. Москва,620458.0,2440.0,1458.0,35527.0,1489.0,2008.0,71445.0,198311.0,28468.0,16168.0
Северо-Западный федеральный округ,436205.0,8282.0,1382.0,34589.0,2081.0,2379.0,54615.0,114151.0,30849.0,13335.0
Республика Карелия,18778.0,840.0,284.0,1281.0,154.0,152.0,1975.0,4006.0,1749.0,632.0
Республика Коми,15563.0,558.0,184.0,739.0,98.0,106.0,1575.0,3189.0,1177.0,510.0
Архангельская область,19872.0,657.0,80.0,1220.0,265.0,186.0,2057.0,3771.0,1612.0,682.0
Ненецкий автономный округ,936.0,56.0,21.0,42.0,28.0,5.0,92.0,110.0,57.0,25.0
Архангельская область без автономного округа,18936.0,601.0,59.0,1178.0,237.0,181.0,1965.0,3661.0,1555.0,657.0
Вологодская область,34632.0,1299.0,85.0,2508.0,209.0,244.0,5829.0,8423.0,3065.0,620.0
Калининградская область,36405.0,892.0,93.0,3252.0,146.0,211.0,4464.0,10477.0,3134.0,1008.0
Ленинградская область,32606.0,1351.0,175.0,3030.0,213.0,316.0,3300.0,5713.0,2060.0,843.0
Мурманская область,14151.0,451.0,44.0,761.0,114.0,132.0,1276.0,3128.0,1143.0,576.0
Новгородская область,11763.0,618.0,85.0,1128.0,87.0,119.0,1247.0,2298.0,527.0,364.0
Псковская область,12050.0,770.0,49.0,1090.0,75.0,60.0,1252.0,2869.0,890.0,344.0
г. Санкт-Петербург,240385.0,846.0,303.0,19580.0,720.0,853.0,31640.0,70277.0,15492.0,7756.0
Южный федеральный округ,288329.0,10776.0,1203.0,19908.0,1513.0,2446.0,31045.0,70309.0,15296.0,10481.0
Республика Адыгея,6332.0,378.0,78.0,600.0,42.0,58.0,639.0,1212.0,247.0,167.0
Республика Калмыкия,3676.0,266.0,14.0,116.0,14.0,39.0,314.0,589.0,95.0,82.0
Республика Крым,31370.0,1382.0,250.0,1771.0,132.0,268.0,3111.0,5687.0,1113.0,1887.0
Краснодарский край,111280.0,3703.0,402.0,7433.0,604.0,792.0,13815.0,28209.0,6481.0,4665.0
Астраханская область,13597.0,976.0,51.0,867.0,81.0,125.0,1271.0,2905.0,745.0,450.0
Волгоградская область,35512.0,1351.0,85.0,2400.0,230.0,626.0,3186.0,7872.0,1734.0,847.0
Ростовская область,75575.0,2526.0,307.0,6003.0,376.0,465.0,7360.0,21701.0,4493.0,1838.0
г. Севастополь,10987.0,194.0,16.0,718.0,34.0,73.0,1349.0,2134.0,388.0,545.0
Северо-Кавказский федеральный округ,107000.0,8503.0,626.0,7423.0,669.0,809.0,12932.0,22260.0,3454.0,2097.0
Республика Дагестан,29818.0,3301.0,222.0,1623.0,183.0,195.0,4195.0,4910.0,921.0,444.0
Республика Ингушетия,5256.0,200.0,29.0,510.0,18.0,54.0,1142.0,1300.0,113.0,39.0
Кабардино-Балкарская Республика,10015.0,979.0,62.0,948.0,63.0,139.0,950.0,2075.0,296.0,256.0
Карачаево-Черкесская Республика,6007.0,448.0,76.0,495.0,43.0,66.0,620.0,1095.0,200.0,163.0
Республика Северная Осетия – Алания,9014.0,751.0,73.0,780.0,93.0,79.0,894.0,1651.0,299.0,188.0
Чеченская Республика,9515.0,907.0,40.0,389.0,30.0,47.0,1556.0,2043.0,229.0,86.0
Ставропольский край,37375.0,1917.0,124.0,2678.0,239.0,229.0,3575.0,9186.0,1396.0,921.0
